Fecha,Precio,Rt,,
14/05/2020,23.08,,,
15/05/2020,24.74,0.069454925,,
18/05/2020,26.73,0.077365163,,
19/05/2020,26.55,-0.006756782,,
20/05/2020,27.71,0.042763611,,
21/05/2020,28.03,0.011482006,,
22/05/2020,27.30,-0.026388663,,
25/05/2020,,,,
26/05/2020,28.65,,,
27/05/2020,27.37,-0.04570592,,
28/05/2020,27.92,0.019895755,,
29/05/2020,29.87,0.067511354,,
01/06/2020,31.14,0.041638534,,
02/06/2020,32.40,0.039665256,,
03/06/2020,32.64,0.007380107,,
04/06/2020,32.61,-0.00091954,,
05/06/2020,34.77,0.064135956,,
08/06/2020,33.88,-0.025930076,,
09/06/2020,33.97,0.002652912,,
10/06/2020,34.43,0.013450495,,
11/06/2020,31.59,-0.086087663,,
12/06/2020,31.42,-0.005395982,,
15/06/2020,32.33,0.028550959,,
16/06/2020,33.63,0.039422934,,
17/06/2020,33.51,-0.003574624,,
18/06/2020,34.17,0.019504164,,
19/06/2020,35.04,0.0251422,,
22/06/2020,35.49,0.012760701,,
23/06/2020,35.42,-0.001974334,,
24/06/2020,33.15,-0.066233916,,
25/06/2020,33.67,0.015564517,,
26/06/2020,33.89,0.006512752,,
29/06/2020,34.51,0.018129151,,
30/06/2020,34.28,-0.006687043,,
01/07/2020,36.43,0.060830517,,
02/07/2020,37.35,0.024940301,,
03/07/2020,,,,
06/07/2020,37.54,,,
07/07/2020,37.45,-0.002400321,,
08/07/2020,37.69,0.006388097,,
09/07/2020,36.78,-0.024440588,,
10/07/2020,,,,
13/07/2020,37.10,,,
14/07/2020,37.15,0.001346802,,
15/07/2020,38.09,0.024988009,,
16/07/2020,37.58,-0.013479787,,
17/07/2020,37.27,-0.00828328,,
20/07/2020,37.34,0.001876425,,
21/07/2020,38.39,0.027731871,,
22/07/2020,38.43,0.001041396,,
23/07/2020,37.68,-0.019708955,,
24/07/2020,37.54,-0.003722419,,
27/07/2020,37.77,0.006108106,,
28/07/2020,37.42,-0.009309816,,
29/07/2020,37.82,0.010632742,,
30/07/2020,36.94,-0.023543088,,
31/07/2020,,,,
03/08/2020,39.05,,,
04/08/2020,39.50,0.011457796,,
05/08/2020,40.23,0.018312314,,
06/08/2020,40.12,-0.002738023,,
07/08/2020,39.57,-0.013803708,,
10/08/2020,,,,
11/08/2020,39.78,,,
12/08/2020,40.57,0.019664604,,
13/08/2020,40.23,-0.008415891,,
14/08/2020,39.93,-0.007485065,,
17/08/2020,40.58,0.016147413,,
18/08/2020,40.74,0.003935076,,
19/08/2020,40.68,-0.00147384,,
20/08/2020,40.33,-0.008640962,,
21/08/2020,40.00,-0.008216155,,
24/08/2020,40.50,0.01242252,,
25/08/2020,41.12,0.015192647,,
26/08/2020,41.11,-0.00024322,,
27/08/2020,40.73,-0.009286479,,
28/08/2020,40.58,-0.003689587,,
31/08/2020,40.85,0.006631487,,
01/09/2020,41.12,0.0065878,,
02/09/2020,40.17,-0.023374173,,
03/09/2020,39.62,-0.013786407,,
04/09/2020,38.45,-0.029975345,,
07/09/2020,,,,
08/09/2020,35.50,,,
09/09/2020,36.20,0.019526422,,
10/09/2020,35.66,-0.015029506,,
11/09/2020,35.46,-0.005624312,,
14/09/2020,35.25,-0.005939771,,
15/09/2020,36.08,0.023273166,,
16/09/2020,,,,
17/09/2020,38.76,,,
18/09/2020,38.97,0.005403332,,
21/09/2020,37.26,-0.044871754,,
22/09/2020,37.44,0.004819286,,
23/09/2020,37.58,0.003732342,,
24/09/2020,37.74,0.004248546,,
25/09/2020,37.86,0.003174606,,
28/09/2020,38.15,0.007630612,,
29/09/2020,37.11,-0.027639283,,
30/09/2020,37.12,0.000269433,,
01/10/2020,35.94,-0.032305027,,
02/10/2020,34.16,-0.050795512,,
05/10/2020,36.02,0.053018971,,
06/10/2020,37.38,0.037061462,,
07/10/2020,36.91,-0.012653285,,
08/10/2020,38.04,0.030155721,,
09/10/2020,37.71,-0.008712926,,
12/10/2020,,,,
13/10/2020,37.25,,,
14/10/2020,38.05,0.021249139,,
15/10/2020,38.01,-0.001051801,,
16/10/2020,37.87,-0.003690041,,
19/10/2020,37.64,-0.006091927,,
20/10/2020,38.08,0.011621895,,
21/10/2020,36.81,-0.033919663,,
22/10/2020,37.35,0.014563364,,
23/10/2020,36.80,-0.014835066,,
26/10/2020,35.46,-0.037092545,,
27/10/2020,36.20,0.020653818,,
28/10/2020,34.31,-0.053622262,,
29/10/2020,32.98,-0.03953554,,
30/10/2020,32.58,-0.012202714,,
02/11/2020,,,,
03/11/2020,35.00,,,
04/11/2020,36.36,0.038121208,,
05/11/2020,36.21,-0.004133946,,
06/11/2020,34.83,-0.038856239,,
09/11/2020,37.46,0.072794613,,
10/11/2020,38.74,0.033598961,,
11/11/2020,39.15,0.010527764,,
12/11/2020,38.83,-0.008207279,,
13/11/2020,38.00,-0.021606984,,
16/11/2020,,,,
17/11/2020,39.06,,,
18/11/2020,39.51,0.011454879,,
19/11/2020,39.43,-0.002026857,,
20/11/2020,40.01,0.014602475,,
23/11/2020,41.07,0.026148505,,
24/11/2020,42.65,0.037749346,,
25/11/2020,43.64,0.022946887,,
26/11/2020,,,,
27/11/2020,,,,
30/11/2020,42.95,,,
01/12/2020,42.92,-0.000698731,,
02/12/2020,43.49,0.013193109,,
03/12/2020,44.04,0.012567285,,
04/12/2020,44.70,0.01487519,,
07/12/2020,44.16,-0.0121541,,
08/12/2020,44.17,0.000226424,,
09/12/2020,44.30,0.002938851,,
10/12/2020,45.42,0.02496786,,
11/12/2020,45.50,0.001759789,,
14/12/2020,45.84,0.007444746,,
15/12/2020,46.14,0.00652318,,
16/12/2020,46.47,0.00712669,,
17/12/2020,46.96,0.010489232,,
18/12/2020,47.50,0.011433536,,
21/12/2020,46.25,-0.026668247,,
22/12/2020,45.50,-0.016349138,,
23/12/2020,46.46,0.020879401,,
24/12/2020,,,,
25/12/2020,,,,
28/12/2020,46.34,,,
29/12/2020,46.60,0.005595022,,
30/12/2020,46.88,0.005990604,,
31/12/2020,47.16,0.00595493,,
01/01/2021,,,,
04/01/2021,47.12,,,
05/01/2021,48.81,0.035237671,,
06/01/2021,49.96,0.023287475,,
07/01/2021,50.23,0.005389773,,
08/01/2021,51.52,0.025357624,,
11/01/2021,51.41,-0.002137376,,
12/01/2021,52.25,0.016207185,,
13/01/2021,51.91,-0.006528441,,
14/01/2021,52.15,0.004612732,,
15/01/2021,51.05,-0.021318637,,
18/01/2021,,,,
19/01/2021,51.67,,,
20/01/2021,51.97,0.005789287,,
21/01/2021,51.73,-0.004628745,,
22/01/2021,51.11,-0.012057711,,
25/01/2021,51.61,0.009735279,,
26/01/2021,51.58,-0.000581452,,
27/01/2021,51.66,0.001549787,,
28/01/2021,51.13,-0.010312379,,
29/01/2021,51.18,0.000977422,,
01/02/2021,,,,
02/02/2021,53.05,,,
03/02/2021,54.04,0.018489648,,
04/02/2021,54.57,0.009759768,,
05/02/2021,55.17,0.010935046,,
08/02/2021,56.31,0.020452812,,
09/02/2021,56.84,0.009368164,,
10/02/2021,57.13,0.00508907,,
11/02/2021,56.80,-0.005793047,,
12/02/2021,57.89,0.019008332,,
15/02/2021,,,,
16/02/2021,58.80,,,
17/02/2021,59.80,0.016863806,,
18/02/2021,59.40,-0.006711435,,
19/02/2021,60.10,0.011715615,,
22/02/2021,60.10,0,,
23/02/2021,60.53,0.007129268,,
24/02/2021,61.85,0.021572989,,
25/02/2021,62.23,0.0061251,,
26/02/2021,60.89,-0.021768241,,
01/03/2021,59.23,-0.027640787,,
02/03/2021,57.97,-0.021502535,,
03/03/2021,59.24,0.021671354,,
04/03/2021,61.74,0.04133503,,
05/03/2021,64.40,0.042181614,,
08/03/2021,63.67,-0.011400139,,
09/03/2021,62.66,-0.015990209,,
10/03/2021,62.83,0.002709381,,
11/03/2021,64.48,0.025922432,,
12/03/2021,64.27,-0.003262139,,
15/03/2021,,,,
16/03/2021,63.29,,,
17/03/2021,63.03,-0.004116535,,
18/03/2021,58.81,-0.069298895,,
19/03/2021,59.55,0.012504387,,
22/03/2021,59.70,0.002515725,,
23/03/2021,56.23,-0.059881598,,
24/03/2021,59.09,0.049611283,,
25/03/2021,57.13,-0.033732333,,
26/03/2021,59.35,0.038122748,,
29/03/2021,59.98,0.010559052,,
30/03/2021,59.25,-0.012245393,,
31/03/2021,58.37,-0.014963721,,
01/04/2021,,,,
02/04/2021,,,,
05/04/2021,56.62,,,
06/04/2021,57.09,0.00826669,,
07/04/2021,57.40,0.005415333,,
08/04/2021,57.39,-0.000174231,,
09/04/2021,57.13,-0.004540699,,
12/04/2021,57.45,0.005585632,,
13/04/2021,57.90,0.00780238,,
14/04/2021,60.63,0.046072436,,
15/04/2021,61.12,0.008049325,,
16/04/2021,61.03,-0.001473598,,
19/04/2021,61.24,0.003435024,,
